@relation letter-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R17_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A16-N200-T1.0E-4-weka.filters.unsupervised.attribute.Remove-R9-16

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute Source_7 numeric
@attribute class {A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z}

@data
0.003176,-0.002714,0.005432,0.000122,0.002855,-0.001358,0.007043,-0.001246,Z
-0.001674,0.007297,-0.007543,0.000232,-0.000556,-0.001869,-0.003392,-0.009,P
0.016598,-0.012631,0.011365,-0.005353,0.00355,-0.000331,-0.00177,-0.00883,S
-0.002624,0.004466,0.003678,0.009054,0.002156,0.005229,0.000401,-0.006476,H
-0.005447,-0.005056,0.008119,0.000251,0.000644,0.007464,0.003403,0.001242,H
0.000842,-0.006521,-0.008592,-0.009684,-0.001515,-0.002059,0.006435,-0.001603,F
0.000346,-0.00876,0.000957,-0.000881,0.001874,-0.000842,-0.001773,0.008959,N
0.006704,0.000811,0.000478,0.000425,-0.005558,0.001758,0.001098,-0.018564,R
0.003128,-0.004827,-0.002531,0.000636,-0.009744,-0.004423,0.000982,0.004164,M
-0.002977,0.006731,0.005978,0.00156,-0.006782,0.001453,0.009557,-0.007289,D
0.003905,0.01317,-0.009121,0.014886,0.003347,0.009125,0.002935,0.012773,V
0.004256,-0.010025,0.002873,0.001493,0.016142,0.001954,0.001342,-0.000889,A
0.010438,0.010104,-0.007382,0.001595,-0.005247,-0.000578,-0.001192,-0.004415,K
0.005014,-0.002075,-0.00164,-0.000262,-0.003723,0.002193,0.002507,-0.000233,D
0.009271,-0.005048,0.008608,-0.010043,-0.003802,0.003667,-0.007398,0.000767,S
0.006026,-0.011043,0.002345,0.00014,-0.010739,0.000661,0.001327,-0.005321,H
-0.004667,-0.009094,0.017397,0.004272,0.005938,-0.016164,-0.008878,0.005267,E
0.001737,-0.004051,0.007083,0.004083,0.004344,0.00206,0.006002,-0.003073,Z
0.006403,0.003005,0.003006,0.007417,-0.002023,0.005772,-0.000021,-0.009896,O
-0.002232,0.001347,-0.000535,-0.001133,-0.002843,-0.012646,-0.002588,0.002755,Q
-0.001723,-0.001523,0.012489,0.010691,0.009178,0.002818,-0.006604,0.002538,Q
-0.013998,-0.00096,-0.009159,0.005505,-0.013609,0.024578,-0.007976,0.015127,L
