@relation 'letter_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1-weka.filters.unsupervised.attribute.Remove-R9-12'

@attribute -0.438width-0.427x-box-0.417onpix-0.4high-0.4y-box... numeric
@attribute 0.509y-bar+0.472x2ybr+0.457xegvy-0.33x-bar-0.309yegvx... numeric
@attribute -0.551y2bar+0.452x2bar-0.443xybar+0.431x-ege+0.169x2ybr... numeric
@attribute -0.496xy2br+0.416x-bar-0.394y2bar+0.317xybar-0.313x2bar... numeric
@attribute -0.619y-ege+0.455xy2br+0.358xybar+0.239y-box-0.233onpix... numeric
@attribute 0.665yegvx+0.414x-bar+0.287xybar+0.287xegvy+0.265y-bar... numeric
@attribute 0.527xy2br-0.522x2bar+0.351x-ege-0.279high-0.275y-box... numeric
@attribute 0.539x2bar+0.519xybar-0.29xegvy+0.288y-ege-0.248high... numeric
@attribute class {A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z}

@data
1.832282,0.573208,-2.202803,0.313924,-0.797431,-0.364154,0.696577,0.980028,Z
-0.197269,0.116381,0.495226,-1.36638,-0.743354,1.210021,-0.26301,0.114362,P
-2.041912,-2.046146,-2.384152,-0.370565,0.502323,0.254124,-1.033345,0.855447,S
-0.256712,-0.50763,2.676914,-0.184558,1.399644,-0.607835,-2.136548,0.404386,H
-1.067311,0.066046,-1.052589,0.117271,0.833561,-0.356124,0.946806,0.370276,H
0.669045,3.023186,-1.382706,1.083423,0.220514,0.122278,-0.912773,-0.117365,F
-2.013167,0.584148,-0.399216,0.784116,1.455218,0.128897,0.226462,-0.608187,N
3.823225,-0.55897,1.516535,0.171286,-0.894287,0.347359,-0.015348,0.899473,R
-1.954897,-0.381382,0.543343,0.866491,1.140997,-0.096465,1.547349,0.122555,M
3.685632,-0.219089,0.799844,-0.286001,-1.12303,-0.868432,-0.479166,0.967666,D
1.592519,1.409564,1.900658,0.314302,0.802779,0.954956,0.220262,-1.316483,V
-0.705153,-3.491694,-1.005623,2.07478,1.113363,1.026244,-1.328573,0.054499,A
-0.313391,-2.36521,0.57278,-0.203845,-1.220726,2.050477,-0.30725,-0.139488,K
-0.097666,0.128084,-0.396943,1.599549,-0.750584,-0.519055,-0.988727,-0.127381,D
-3.471627,-0.55587,-1.212546,0.424874,0.170854,-0.238801,-0.175958,0.411592,S
-4.043368,-1.411912,-0.782777,1.184854,0.270476,0.270481,0.130126,0.147481,H
0.077431,-0.27279,-1.912563,-4.367406,0.339105,-1.306674,1.498815,0.715558,E
