@relation 'letter-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R17_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A16-N200-T1.0E-4_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1'

@attribute -0.456Source_6+0.439Source_11+0.422Source_9+0.363Source_13-0.272Source_8... numeric
@attribute '0.851Source_12+0.371Source_4+0.279Source_1+0.18 Source_3+0.086Source_5...' numeric
@attribute 0.733Source_4-0.641Source_1-0.161Source_3-0.099Source_5+0.058Source_2... numeric
@attribute -0.816Source_3+0.502Source_1+0.231Source_4+0.077Source_14-0.066Source_12... numeric
@attribute -0.873Source_5+0.289Source_3+0.277Source_1+0.187Source_4-0.146Source_12... numeric
@attribute '0.668Source_7-0.649Source_14-0.197Source_5-0.161Source_3+0.13 Source_0...' numeric
@attribute -0.67Source_7-0.602Source_14-0.261Source_10+0.226Source_0+0.126Source_8... numeric
@attribute 0.882Source_0+0.343Source_10-0.172Source_8+0.154Source_15+0.148Source_14... numeric
@attribute 0.635Source_10-0.342Source_0-0.338Source_8-0.318Source_14-0.259Source_7... numeric
@attribute 0.874Source_15-0.285Source_8-0.265Source_10-0.182Source_11-0.13Source_2... numeric
@attribute -0.675Source_8-0.447Source_15-0.355Source_10-0.352Source_11-0.128Source_14... numeric
@attribute -0.854Source_2+0.402Source_11-0.192Source_8+0.176Source_10-0.101Source_0... numeric
@attribute -0.69Source_13+0.451Source_11-0.324Source_8+0.303Source_2-0.231Source_9... numeric
@attribute 0.762Source_9-0.551Source_13-0.257Source_11-0.149Source_6-0.115Source_2... numeric
@attribute -0.839Source_6-0.395Source_9-0.258Source_13+0.174Source_8-0.093Source_2... numeric
@attribute 0.431Source_11-0.39Source_12+0.369Source_4+0.335Source_1+0.332Source_3... numeric
@attribute class {A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z}

@data
1.215381,-0.650692,-0.228498,1.76153,-0.310048,-0.792901,-0.079398,0.717706,-0.33961,0.443941,-0.74076,-0.022657,0.39588,-0.760139,-0.08824,0.394353,Z
0.264797,-0.752301,-0.384849,-0.398759,0.747601,1.103716,0.308778,-0.270531,1.370422,-1.815555,-0.102478,1.199476,0.241253,-0.159177,0.14688,-0.337036,P
-0.789971,0.791331,1.131016,0.332036,-0.27961,0.230982,-1.33728,-1.178853,0.493415,0.872763,0.616663,0.576531,1.394898,-3.189578,0.096603,-1.256344,S
0.358911,0.787174,0.431676,-0.978049,0.636173,0.564627,0.175649,-1.315754,1.722258,0.941917,1.231463,0.23254,1.468139,2.322186,0.382216,-0.562749,H
0.172491,0.740371,0.349718,1.277074,-0.150168,0.007535,-0.484894,0.168996,-1.072849,-0.127409,0.42613,1.07252,-0.16539,-0.03367,-0.951391,-1.474733,H
0.001397,0.315002,0.749912,-0.877021,0.751036,-1.770532,-0.487407,0.273517,0.437768,-1.031514,-1.019985,0.81579,1.75156,-0.239443,-0.025106,0.1715,F
-0.243288,1.129314,0.454352,-1.006508,-0.375574,-0.244622,-0.305689,-0.278552,-1.642574,0.618666,-1.071404,-0.176263,0.082859,-0.566138,-0.192904,-0.903087,N
1.477959,0.446833,0.396421,-0.367386,0.001473,-0.14393,0.935433,-0.798421,2.66625,-0.591525,0.513014,0.829628,-0.456869,-1.243222,-0.791464,0.730762,R
-0.374167,1.397001,-2.280654,-0.882458,1.226538,0.708172,0.123048,0.947251,-0.688082,0.526209,-0.083785,0.337385,0.694066,-0.969001,-1.192384,0.08369,M
1.143296,-0.561415,0.402456,0.956634,0.685521,-0.124329,-0.52307,-0.824952,0.730069,-0.433433,0.19949,-0.875034,0.409566,0.044082,-1.554329,1.236384,D
1.389607,0.51366,0.701208,-0.465792,1.310161,1.273766,1.207093,1.432801,-1.280259,1.192604,-0.680474,-0.875026,-2.303043,1.446099,1.104664,-0.214973,V
1.013957,-0.824154,0.40326,-1.072308,-1.418299,-0.234233,1.912497,-0.830123,-1.186946,1.89584,0.945818,0.251684,1.243373,-0.076531,2.065593,-0.303393,A
0.973298,-1.044779,-0.360978,-1.105864,1.529992,2.639084,1.291144,0.058983,-0.317998,-0.947044,-0.33793,-0.560018,0.161209,-2.511193,-0.339036,0.035155,K
0.721699,-0.426283,0.307602,-0.58672,0.115798,-0.557928,0.276753,0.834175,-0.059984,0.605355,-0.028919,-1.305884,1.381319,-0.146702,0.140968,0.086457,D
-1.26165,1.143487,0.547164,0.347119,-0.403856,0.607584,0.603419,0.200424,0.041652,-0.234686,0.037992,0.312035,0.909188,-1.923058,-0.586071,-1.399022,S
-0.282068,0.721552,-0.369691,-0.967564,0.406644,1.018542,-0.903754,1.160887,-0.129814,0.406416,1.196847,1.081336,2.131776,-1.415579,-1.082535,-1.628545,H
